sector,sub_sector,source,pollutant,emissions,unit
Power Generation,Kohinoor Energy Limited,Fossil Fuel,OC,0.0004,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,SOx,2.5033,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,NOx,0.276,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,PM2.5,0.0128,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,NMVOC,0.0069,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,CO,0.0207,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,BC,0.0009,kt
Power Generation,Kohinoor Energy Limited,Fossil Fuel,CO2,105.8534,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,OC,0.0007,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,SOx,4.3615,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,NOx,0.4809,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,PM2.5,0.0224,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,NMVOC,0.012,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,CO,0.0361,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,BC,0.0016,kt
Power Generation,Nishat Power Ltd,Fossil Fuel,CO2,184.4288,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,OC,0.0007,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,SOx,4.3766,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,NOx,0.4826,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,PM2.5,0.0224,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,NMVOC,0.0121,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,CO,0.0362,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,BC,0.0016,kt
Power Generation,Nishat Chunian Power Ltd,Fossil Fuel,CO2,185.0694,kt
Power Generation,Orient Power Company,Fossil Fuel,OC,0.0002,kt
Power Generation,Orient Power Company,Fossil Fuel,SOx,0.0036,kt
Power Generation,Orient Power Company,Fossil Fuel,NOx,0.4485,kt
Power Generation,Orient Power Company,Fossil Fuel,PM2.5,0.0003,kt
Power Generation,Orient Power Company,Fossil Fuel,NMVOC,0.006,kt
Power Generation,Orient Power Company,Fossil Fuel,CO,0.0568,kt
Power Generation,Orient Power Company,Fossil Fuel,BC,0.00003,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,OC,0.0007,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,SOx,4.6282,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,NOx,0.5103,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,PM2.5,0.0237,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,NMVOC,0.0128,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,CO,0.0383,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,BC,0.0017,kt
Power Generation,Atlas Power Ltd,Fossil Fuel,CO2,195.7083,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,OC,0.0002,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,SOx,0.0033,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,NOx,0.4154,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,PM2.5,0.0003,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,NMVOC,0.0055,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,CO,0.0526,kt
Power Generation,Sapphire Electric Company,Fossil Fuel,BC,0.000028,kt
Industries,Commercial,NG,PM2.5,0.0002,kt
Industries,Commercial,NG,BC,0.0003,kt
Industries,Commercial,NG,NOx,0.0734,kt
Industries,Commercial,NG,CO,0.065,kt
Industries,Commercial,NG,SO2,0.0025,kt
Industries,Commercial,LPG,PM2.5,0.0042,kt
Industries,Commercial,LPG,BC,0.00002,kt
Industries,Commercial,LPG,NOx,0.0738,kt
Industries,Commercial,LPG,CO,0.0844,kt
Industries,Commercial,LPG,SO2,0.0025,kt
Industries,Commercial,Coal,PM2.5,0.3887,kt
Industries,Commercial,Coal,BC,0.0029,kt
Industries,Commercial,Coal,OC,0.0583,kt
Industries,Commercial,Coal,NOx,0.081,kt
Industries,Commercial,Coal,CO,0.2024,kt
Industries,Commercial,Coal,SO2,1.1224,kt
Industries,Commercial,HSD,PM2.5,0.0611,kt
Industries,Commercial,HSD,BC,0.0251,kt
Industries,Commercial,HSD,NOx,0.8831,kt
Industries,Commercial,HSD,CO,0.2665,kt
Industries,Commercial,HSD,SO2,0.2951,kt
Industries,General,NG,PM2.5,0.0027,kt
Industries,General,NG,BC,0.0003,kt
Industries,General,NG,NOx,0.9289,kt
Industries,General,NG,CO,0.8228,kt
Industries,General,NG,SO2,0.0316,kt
Industries,General,LPG,PM2.5,0.0051,kt
Industries,General,LPG,BC,0.00003,kt
Industries,General,LPG,NOx,0.0887,kt
